keywords_count,lines,file
55,729,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Media/Disk/FloppyDisk.cs
54,596,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/Lua/Libraries/TAStudioLuaLibrary.cs
54,514,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Coleco/TMS9918A.cs
53,1002,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Machine/ULA.cs
53,796,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/Boards/ExROM.cs
53,502,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/VDP.cs
53,342,maps/DotNet/Maps/BizHawk/ExternalToolProjects/DBMan/DBMan.cs
52,1231,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/FixedStringMethods.cs
52,635,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/FDS/RamAdapter.cs
52,484,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/Mappers/Mapper_MBC7.cs
52,349,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Coleco/ColecoControllers.cs
51,711,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/PC Engine/ScsiCDBus.cs
51,700,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/Unicode.cs
51,695,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/tools/TAStudio/BookmarksBranchesBox.cs
51,679,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/CRTC.Type1.cs
51,459,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscIdentifier.cs
50,847,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/PPU.regs.cs
50,786,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/LR35902/LR35902.cs
50,704,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/RetroAchievements/RCheevos.cs
50,288,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/Commodore64/MOS/Vic.TimingBuilder.cs
49,743,maps/DotNet/Maps/LiteDB/LiteDB/Client/Mapper/Linq/LinqExpressionVisitor.cs
49,642,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscFormats/CCD_format.cs
49,609,maps/DotNet/Maps/BizHawk/src/BizHawk.Bizware.Graphics/BitmapBuffer.cs
49,456,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/2600/Atari2600.RomHeuristics.cs
48,1024,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/NativeSort.cs
48,623,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/tools/RamSearchEngine/RamSearchEngine.cs
48,515,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/SplayTree.cs
48,385,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/config/DisplayConfig.cs
47,743,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/Gameboy/Gambatte.cs
47,362,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/GCE/Vectrex/PPU.cs
46,661,maps/DotNet/Maps/rd/rd-net/RdFramework.Reflection/ProxyGenerator.cs
46,631,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/SNES/LibsnesCore.cs
46,556,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/IntervalTree.cs
46,422,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscoHawkLogic/DiscoHawkLogic.cs
46,396,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscFormats/CUE/CUE_Parse.cs
46,330,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/A7800Hawk/Pokey.cs
45,3055,maps/DotNet/Maps/StandaloneUnity/Unity/Avx2.cs
45,626,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/FileID.cs
45,567,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/Commodore64/MOS/Cia.cs
45,507,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/TreapTree.cs
45,372,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Coleco/ColecoVision.cs
45,364,maps/DotNet/Maps/BizHawk/waterbox/mame-arcade/mame/3rdparty/lzma/CS/7zip/Compress/LzmaAlone/LzmaAlone.cs
44,868,maps/DotNet/Maps/rd/rd-net/Test.RdFramework/Reflection/data/Generated/RefExt.cs
44,636,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/movie/PlayMovie.cs
44,496,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/Boards/Cony.cs
44,475,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Tree/K_DTree.cs
44,294,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Machine/CPCBase.Input.cs
44,220,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/MemoryMap.Sega.cs
43,2096,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Media/Tape/TZX/TzxConverter.cs
43,578,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/tasproj/ZwinderStateManager.cs
43,570,maps/DotNet/Maps/LiteDB/LiteDB/Document/Expression/Methods/DataTypes.cs
43,537,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/HW_Registers.cs
43,367,maps/DotNet/Maps/BizHawk/waterbox/mame-arcade/mame/3rdparty/lzma/CS/7zip/Compress/LZ/LzBinTree.cs
43,311,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/Gameboy/GambatteLink.IEmulator.cs
42,2281,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeParallelHashSetExtensions.gen.cs
42,1871,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeList.cs
42,703,maps/DotNet/Maps/LiteDB/LiteDB/Utils/Tokenizer.cs
42,686,maps/DotNet/Maps/LiteDB/LiteDB/Document/BsonValue.cs
42,581,maps/DotNet/Maps/StandaloneUnity/Unity/Core/Math/Mathf.cs
42,546,maps/DotNet/Maps/rd/rd-net/Lifetimes/Threading/ByteBufferAsyncProcessor.cs
42,432,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/NES/FDS/FDS.cs
42,335,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Atari/2600/Mappers/m4A50.cs
41,1097,maps/DotNet/Maps/StandaloneUnity/Unity/Sse4_1.cs
41,964,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.DiscSystem/DiscFormats/MDS_Format.cs
41,863,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeBitArray.cs
41,465,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/RetroAchievements/RetroAchievements.GameVerification.cs
41,412,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Common/DSKIdentifier.cs
41,392,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Graph/AdjacencyMatrix/DiGraph.cs
41,307,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/Mappers/Mapper_HuC3.cs
41,287,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/MainForm.Movie.cs
40,928,maps/DotNet/Maps/StandaloneUnity/Unity/NativeArray.cs
40,890,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/UnsafeQueue.cs
40,794,maps/DotNet/Maps/rd/rd-net/RdFramework/Impl/SocketWire.cs
40,675,maps/DotNet/Maps/StandaloneUnity/Unity/Collections/FixedStringFormatMethods.gen.cs
40,642,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Dictionaries/ChainedHashTable.cs
40,642,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Dictionaries/ChainedHashTable.cs
40,378,maps/DotNet/Maps/advanced-algorithms/src/Advanced.Algorithms/DataStructures/Graph/AdjacencyMatrix/WeightedDiGraph.cs
40,366,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.EmuHawk/Throttle.cs
39,1186,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/GateArray.cs
39,666,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/Commodore64/FFT.cs
39,588,maps/DotNet/Maps/LiteDB/LiteDB/Engine/Disk/Serializer/BufferReader.cs
39,515,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Graphs/UndirectedDenseGraph.cs
39,515,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Graphs/UndirectedDenseGraph.cs
39,398,maps/DotNet/Maps/BizHawk/waterbox/mame-arcade/mame/3rdparty/lzma/CS/7zip/Compress/LZMA/LzmaDecoder.cs
39,338,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawk/Mappers/Mapper_MBC3.cs
39,280,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/CPUs/68000/MC68000.cs
38,1065,maps/DotNet/Maps/BizHawk/ExternalProjects/NLua/src/Lua.cs
38,628,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Machine/ZXSpectrum128KPlus3/ZX128Plus3.Memory.cs
38,627,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Machine/ZXSpectrum128KPlus2a/ZX128Plus2a.Memory.cs
38,511,maps/DotNet/Maps/rd/rd-net/RdFramework/Impl/RdMap.cs
38,444,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/import/PjmImport.cs
38,410,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/movie/MovieSession.cs
38,410,maps/DotNet/Maps/rd/rd-net/RdFramework.Reflection/ReflectionSerializers.cs
38,405,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Intellivision/PSG.cs
38,399,maps/DotNet/Maps/C-Sharp-Algorithms/DataStructures/Trees/AVLTree.cs
38,399,maps/DotNet/Maps/thirdparty/C-Sharp-Algorithms/DataStructures/Trees/AVLTree.cs
38,350,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/GBHawkLink/GBHawkLink.IEmulator.cs
38,340,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/SinclairSpectrum/Machine/SpectrumBase.Input.cs
38,246,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Sega/SMS/VDP.ModeTMS.cs
37,1127,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Consoles/Nintendo/N64/NativeApi/mupen64plusCoreApi.cs
37,836,maps/DotNet/Maps/BizHawk/src/BizHawk.Emulation.Cores/Computers/AmstradCPC/Hardware/AY38912.cs
37,583,maps/DotNet/Maps/BizHawk/src/BizHawk.Client.Common/rewind/ZwinderBuffer.cs
